Type,Distribution,K,N,Dimensions,Time
Dumb,gaussian,10,1024,2,0.00126684
Dumb,gaussian,25,1024,2,0.00146479
Dumb,gaussian,50,1024,2,0.00159971
Dumb,gaussian,75,1024,2,0.00149791
Dumb,gaussian,100,1024,2,0.00158418
Dumb,gaussian,125,1024,2,0.00146172
Dumb,gaussian,150,1024,2,0.00149126
Dumb,gaussian,175,1024,2,0.00142683
Dumb,gaussian,200,1024,2,0.00145369
Buckets,gaussian,10,1024,2,0.0011211
Buckets,gaussian,25,1024,2,0.00159205
Buckets,gaussian,50,1024,2,0.000953057
Buckets,gaussian,75,1024,2,0.00118252
Buckets,gaussian,100,1024,2,0.00174439
Buckets,gaussian,125,1024,2,0.00139456
Buckets,gaussian,150,1024,2,0.00170548
Buckets,gaussian,175,1024,2,0.00220892
Buckets,gaussian,200,1024,2,0.00165186
Buckets,gaussian,10,1024,3,0.000717
Buckets,gaussian,25,1024,3,0.000763287
Buckets,gaussian,50,1024,3,0.00076432
Buckets,gaussian,75,1024,3,0.000758145
Buckets,gaussian,100,1024,3,0.00099051
Buckets,gaussian,125,1024,3,0.00265695
Buckets,gaussian,150,1024,3,0.00277377
Buckets,gaussian,175,1024,3,0.00444453
Buckets,gaussian,200,1024,3,0.0026415
Buckets,gaussian,10,1024,10,7.10481
Buckets,gaussian,25,1024,10,7.09976
Buckets,gaussian,50,1024,10,7.13022
Buckets,gaussian,75,1024,10,7.11564
Buckets,gaussian,100,1024,10,7.08761
Buckets,gaussian,125,1024,10,7.14119
Buckets,gaussian,150,1024,10,7.27241
Buckets,gaussian,175,1024,10,7.12744
Buckets,gaussian,200,1024,10,7.28697
Quad Tree,gaussian,10,1024,2,0.000289417
Quad Tree,gaussian,25,1024,2,0.000459164
Quad Tree,gaussian,50,1024,2,0.000479112
Quad Tree,gaussian,75,1024,2,0.000723063
Quad Tree,gaussian,100,1024,2,0.000861336
Quad Tree,gaussian,125,1024,2,0.000736642
Quad Tree,gaussian,150,1024,2,0.000936264
Quad Tree,gaussian,175,1024,2,0.00130131
Quad Tree,gaussian,200,1024,2,0.00122971
Buckets,gaussian,10,1024,2,0.000284949
Buckets,gaussian,25,1024,2,0.000429575
Buckets,gaussian,50,1024,2,0.00051572
Buckets,gaussian,75,1024,2,0.000701443
Buckets,gaussian,100,1024,2,0.000800459
Buckets,gaussian,125,1024,2,0.00085881
Buckets,gaussian,150,1024,2,0.000809496
Buckets,gaussian,175,1024,2,0.00124436
Buckets,gaussian,200,1024,2,0.00109072
Buckets,gaussian,10,1024,3,0.000350784
Buckets,gaussian,25,1024,3,0.00048332
Buckets,gaussian,50,1024,3,0.000642596
Buckets,gaussian,75,1024,3,0.0010119
Buckets,gaussian,100,1024,3,0.000670664
Buckets,gaussian,125,1024,3,0.000931939
Buckets,gaussian,150,1024,3,0.00104858
Buckets,gaussian,175,1024,3,0.00105452
Buckets,gaussian,200,1024,3,0.0015466
Buckets,gaussian,10,1024,10,0.000917246
Buckets,gaussian,25,1024,10,0.00114469
Buckets,gaussian,50,1024,10,0.00174481
Buckets,gaussian,75,1024,10,0.0022849
Buckets,gaussian,100,1024,10,0.00266089
Buckets,gaussian,125,1024,10,0.00336886
Buckets,gaussian,150,1024,10,0.00325926
Buckets,gaussian,175,1024,10,0.00365334
Buckets,gaussian,200,1024,10,0.00392743
Dumb,gaussian,10,2048,2,0.00235039
Dumb,gaussian,25,2048,2,0.00234008
Dumb,gaussian,50,2048,2,0.00240698
Dumb,gaussian,75,2048,2,0.00236772
Dumb,gaussian,100,2048,2,0.00236499
Dumb,gaussian,125,2048,2,0.0023165
Dumb,gaussian,150,2048,2,0.00245431
Dumb,gaussian,175,2048,2,0.00279939
Dumb,gaussian,200,2048,2,0.00250974
Buckets,gaussian,10,2048,2,0.00208297
Buckets,gaussian,25,2048,2,0.00319147
Buckets,gaussian,50,2048,2,0.0021876
Buckets,gaussian,75,2048,2,0.00217018
Buckets,gaussian,100,2048,2,0.00179656
Buckets,gaussian,125,2048,2,0.00210028
Buckets,gaussian,150,2048,2,0.00213816
Buckets,gaussian,175,2048,2,0.00236469
Buckets,gaussian,200,2048,2,0.00176455
Buckets,gaussian,10,2048,3,0.00188654
Buckets,gaussian,25,2048,3,0.00150621
Buckets,gaussian,50,2048,3,0.00221116
Buckets,gaussian,75,2048,3,0.00370881
Buckets,gaussian,100,2048,3,0.00165209
Buckets,gaussian,125,2048,3,0.00176844
Buckets,gaussian,150,2048,3,0.00158918
Buckets,gaussian,175,2048,3,0.00337905
Buckets,gaussian,200,2048,3,0.00135503
Buckets,gaussian,10,2048,10,7.81795
