Type,Distribution,K,N,Dimensions,Time
Dumb,gaussian,10,1024,2,0.00107976
Dumb,gaussian,25,1024,2,0.00108584
Dumb,gaussian,50,1024,2,0.00108419
Dumb,gaussian,75,1024,2,0.00122096
Dumb,gaussian,100,1024,2,0.00111009
Dumb,gaussian,125,1024,2,0.00117775
Dumb,gaussian,150,1024,2,0.00135819
Dumb,gaussian,175,1024,2,0.00106628
Dumb,gaussian,200,1024,2,0.00122285
Buckets,gaussian,10,1024,2,0.000403919
Buckets,gaussian,25,1024,2,0.000784054
Buckets,gaussian,50,1024,2,0.000684308
Buckets,gaussian,75,1024,2,0.00108003
Buckets,gaussian,100,1024,2,0.000783853
Buckets,gaussian,125,1024,2,0.000913801
Buckets,gaussian,150,1024,2,0.000498928
Buckets,gaussian,175,1024,2,0.00073695
Buckets,gaussian,200,1024,2,0.00120423
Buckets,gaussian,10,1024,3,0.000505446
Buckets,gaussian,25,1024,3,0.00153854
Buckets,gaussian,50,1024,3,0.000844336
Buckets,gaussian,75,1024,3,0.00158591
Buckets,gaussian,100,1024,3,0.00262701
Buckets,gaussian,125,1024,3,0.00388675
Buckets,gaussian,150,1024,3,0.00181431
Buckets,gaussian,175,1024,3,0.00212994
Buckets,gaussian,200,1024,3,0.00201344
Buckets,gaussian,10,1024,10,7.23797
Buckets,gaussian,25,1024,10,7.25249
Buckets,gaussian,50,1024,10,7.21126
Buckets,gaussian,75,1024,10,7.2722
Buckets,gaussian,100,1024,10,7.24354
Buckets,gaussian,125,1024,10,7.22492
Buckets,gaussian,150,1024,10,7.30255
Buckets,gaussian,175,1024,10,7.19674
Buckets,gaussian,200,1024,10,7.22842
Quad Tree,gaussian,10,1024,2,0.000366436
Quad Tree,gaussian,25,1024,2,0.000439114
Quad Tree,gaussian,50,1024,2,0.000539149
Quad Tree,gaussian,75,1024,2,0.00053502
Quad Tree,gaussian,100,1024,2,0.000777411
Quad Tree,gaussian,125,1024,2,0.00101384
Quad Tree,gaussian,150,1024,2,0.000565082
Quad Tree,gaussian,175,1024,2,0.000867858
Quad Tree,gaussian,200,1024,2,0.00105327
KD Tree,gaussian,10,1024,2,0.000317558
KD Tree,gaussian,25,1024,2,0.000448336
KD Tree,gaussian,50,1024,2,0.000482163
KD Tree,gaussian,75,1024,2,0.000755882
KD Tree,gaussian,100,1024,2,0.000686495
KD Tree,gaussian,125,1024,2,0.00083711
KD Tree,gaussian,150,1024,2,0.00115104
KD Tree,gaussian,175,1024,2,0.0013747
KD Tree,gaussian,200,1024,2,0.00128508
KD Tree,gaussian,10,1024,3,0.000387487
KD Tree,gaussian,25,1024,3,0.000608337
KD Tree,gaussian,50,1024,3,0.000707609
KD Tree,gaussian,75,1024,3,0.000916006
KD Tree,gaussian,100,1024,3,0.000864814
KD Tree,gaussian,125,1024,3,0.00132539
KD Tree,gaussian,150,1024,3,0.00121324
KD Tree,gaussian,175,1024,3,0.00111721
KD Tree,gaussian,200,1024,3,0.00153222
KD Tree,gaussian,10,1024,10,0.0009327
KD Tree,gaussian,25,1024,10,0.00127179
KD Tree,gaussian,50,1024,10,0.00171513
KD Tree,gaussian,75,1024,10,0.00234027
KD Tree,gaussian,100,1024,10,0.00238536
KD Tree,gaussian,125,1024,10,0.00285429
KD Tree,gaussian,150,1024,10,0.00340574
KD Tree,gaussian,175,1024,10,0.00380185
KD Tree,gaussian,200,1024,10,0.00370125
