K,N,Dimensions,Time
3,256,2,0.00015793
8,256,2,0.000117971
13,256,2,0.000171608
18,256,2,0.000136248
23,256,2,0.000143625
28,256,2,0.000135436
33,256,2,0.000144642
38,256,2,0.000120465
43,256,2,0.000170511
48,256,2,0.000249518
53,256,2,0.000125763
58,256,2,0.000161293
63,256,2,0.000114574
68,256,2,0.000524524
73,256,2,0.000613537
78,256,2,0.000597893
83,256,2,0.000601527
88,256,2,0.000584193
93,256,2,0.000546612
98,256,2,0.000557039
3,256,3,7.86716e-05
8,256,3,7.51732e-05
13,256,3,7.30239e-05
18,256,3,7.29583e-05
23,256,3,7.28109e-05
28,256,3,0.000725649
33,256,3,0.000732575
38,256,3,0.000724992
43,256,3,0.000732384
48,256,3,0.000734742
53,256,3,0.000742952
58,256,3,0.000764078
63,256,3,0.000732442
68,256,3,0.000730958
73,256,3,0.000732449
78,256,3,0.000730104
83,256,3,0.000728314
88,256,3,0.000727719
93,256,3,0.000726332
98,256,3,0.000704884
3,256,4,5.27424e-05
8,256,4,0.00098694
13,256,4,0.000986303
18,256,4,0.000992569
23,256,4,0.00103398
28,256,4,0.00100299
33,256,4,0.0010045
38,256,4,0.00101822
43,256,4,0.0010913
48,256,4,0.00107711
53,256,4,0.00101964
58,256,4,0.000981692
63,256,4,0.000971492
68,256,4,0.00101019
73,256,4,0.000979581
78,256,4,0.000980643
83,256,4,0.000979192
88,256,4,0.00100883
93,256,4,0.00108955
98,256,4,0.000985381
3,256,5,6.14904e-05
8,256,5,0.00122795
13,256,5,0.0012307
18,256,5,0.00120864
23,256,5,0.00122674
28,256,5,0.00120595
33,256,5,0.00123455
38,256,5,0.00120656
43,256,5,0.00123286
48,256,5,0.00126542
53,256,5,0.00120177
58,256,5,0.00124975
63,256,5,0.00138014
68,256,5,0.0012266
73,256,5,0.00124624
78,256,5,0.00121559
83,256,5,0.00120821
88,256,5,0.0011717
93,256,5,0.00117213
98,256,5,0.00117357
3,256,6,0.00167639
8,256,6,0.00174636
13,256,6,0.00175743
18,256,6,0.0017784
23,256,6,0.00169697
28,256,6,0.00166759
33,256,6,0.00167513
38,256,6,0.00164113
43,256,6,0.0016365
48,256,6,0.0016307
53,256,6,0.00160505
58,256,6,0.00161475
63,256,6,0.00166051
68,256,6,0.00175445
73,256,6,0.00177087
78,256,6,0.00163343
83,256,6,0.00162814
88,256,6,0.0016301
93,256,6,0.00162686
98,256,6,0.0016155
3,256,7,0.00294432
8,256,7,0.00290475
13,256,7,0.00293331
18,256,7,0.00295722
23,256,7,0.00307128
28,256,7,0.00376702
33,256,7,0.00351024
38,256,7,0.00335346
43,256,7,0.00307765
48,256,7,0.00303506
53,256,7,0.00310417
58,256,7,0.00306641
63,256,7,0.0029651
68,256,7,0.00291381
73,256,7,0.00291617
78,256,7,0.00301385
83,256,7,0.00303709
88,256,7,0.00300602
93,256,7,0.0030835
98,256,7,0.00302787
3,256,8,0.0063026
8,256,8,0.00619099
13,256,8,0.00636259
18,256,8,0.00634903
23,256,8,0.00615529
28,256,8,0.00599282
33,256,8,0.00599573
38,256,8,0.00592607
43,256,8,0.00597041
48,256,8,0.00614121
53,256,8,0.00622511
58,256,8,0.00638773
63,256,8,0.00617353
68,256,8,0.00617689
73,256,8,0.00616097
78,256,8,0.00624099
83,256,8,0.00611934
88,256,8,0.00614447
93,256,8,0.00618693
98,256,8,0.00611874
3,768,2,0.000350408
8,768,2,0.000298274
13,768,2,0.000303312
18,768,2,0.000334553
23,768,2,0.000297327
28,768,2,0.00030225
33,768,2,0.000297313
38,768,2,0.000296274
43,768,2,0.000298608
48,768,2,0.000298129
53,768,2,0.000296526
58,768,2,0.000299956
63,768,2,0.000295462
68,768,2,0.000295862
73,768,2,0.000294914
78,768,2,0.000294681
83,768,2,0.000298837
88,768,2,0.000304099
93,768,2,0.00029376
98,768,2,0.000293733
3,768,3,0.000157363
8,768,3,0.000152261
13,768,3,0.000152204
18,768,3,0.000152101
23,768,3,0.000152033
28,768,3,0.000151793
33,768,3,0.000151954
38,768,3,0.000151865
43,768,3,0.000160351
48,768,3,0.000151415
53,768,3,0.00254199
58,768,3,0.00256832
63,768,3,0.00252518
68,768,3,0.00254954
73,768,3,0.00252991
78,768,3,0.00253618
83,768,3,0.00252521
88,768,3,0.00253367
93,768,3,0.00253234
98,768,3,0.00252495
3,768,4,0.000112329
8,768,4,0.000110467
13,768,4,0.000110164
18,768,4,0.000109945
23,768,4,7.4227e-05
28,768,4,0.00313634
33,768,4,0.00317399
38,768,4,0.00333665
43,768,4,0.00339875
48,768,4,0.00320412
53,768,4,0.00328575
58,768,4,0.00332205
63,768,4,0.00345921
68,768,4,0.0031898
73,768,4,0.00316642
78,768,4,0.00318383
83,768,4,0.00317431
88,768,4,0.00324993
93,768,4,0.00316999
98,768,4,0.00319256
3,768,5,9.34968e-05
8,768,5,0.00413135
13,768,5,0.00417997
18,768,5,0.00412832
23,768,5,0.00406556
28,768,5,0.0040454
33,768,5,0.00405864
38,768,5,0.00405278
43,768,5,0.00407697
48,768,5,0.00406005
53,768,5,0.0040342
58,768,5,0.00403267
63,768,5,0.00406642
68,768,5,0.00410228
73,768,5,0.0041916
78,768,5,0.00426607
83,768,5,0.00424253
88,768,5,0.00419546
93,768,5,0.00419503
98,768,5,0.00407922
3,768,6,0.00499186
8,768,6,0.00503489
13,768,6,0.00502079
18,768,6,0.00502219
23,768,6,0.0050148
28,768,6,0.00506179
33,768,6,0.00529928
38,768,6,0.00502632
43,768,6,0.00501305
48,768,6,0.00510314
53,768,6,0.00503675
58,768,6,0.00499836
63,768,6,0.00499697
68,768,6,0.00497774
73,768,6,0.00502162
78,768,6,0.00503171
83,768,6,0.0050461
88,768,6,0.00500748
93,768,6,0.00502494
98,768,6,0.00501414
3,768,7,0.00639031
8,768,7,0.00638554
13,768,7,0.00643751
18,768,7,0.00647414
23,768,7,0.00646762
28,768,7,0.00645437
33,768,7,0.0063908
38,768,7,0.00641527
43,768,7,0.00645676
48,768,7,0.00639739
53,768,7,0.00634581
58,768,7,0.00634854
63,768,7,0.00644391
68,768,7,0.00639655
73,768,7,0.00639824
78,768,7,0.00638894
83,768,7,0.00635258
88,768,7,0.00647283
93,768,7,0.00629845
98,768,7,0.00642082
3,768,8,0.0103246
8,768,8,0.0102724
13,768,8,0.0102607
18,768,8,0.0101829
23,768,8,0.010235
28,768,8,0.0106905
33,768,8,0.010625
38,768,8,0.0106519
43,768,8,0.0107663
48,768,8,0.0107205
53,768,8,0.0106561
58,768,8,0.0106891
63,768,8,0.0104291
68,768,8,0.010602
73,768,8,0.0106608
78,768,8,0.0102793
83,768,8,0.0103749
88,768,8,0.0103902
93,768,8,0.010259
98,768,8,0.0102676
3,1792,2,0.000651944
8,1792,2,0.000631953
13,1792,2,0.000650142
18,1792,2,0.000639351
23,1792,2,0.000641973
28,1792,2,0.000631074
33,1792,2,0.00066476
38,1792,2,0.000659079
43,1792,2,0.000640926
48,1792,2,0.000618325
53,1792,2,0.000622542
58,1792,2,0.000629512
63,1792,2,0.000629046
68,1792,2,0.000631059
73,1792,2,0.000636409
78,1792,2,0.000635471
83,1792,2,0.000650076
88,1792,2,0.000635771
93,1792,2,0.00062731
98,1792,2,0.000631528
3,1792,3,0.00111686
8,1792,3,0.00108708
13,1792,3,0.00111583
18,1792,3,0.00106333
23,1792,3,0.00112132
28,1792,3,0.00110011
33,1792,3,0.00114152
38,1792,3,0.00113111
43,1792,3,0.001175
48,1792,3,0.00115628
53,1792,3,0.00112386
58,1792,3,0.00108461
63,1792,3,0.00108924
68,1792,3,0.0011071
73,1792,3,0.00109709
78,1792,3,0.00112199
83,1792,3,0.00108324
88,1792,3,0.00110163
93,1792,3,0.00110503
98,1792,3,0.00110567
3,1792,4,0.000282297
8,1792,4,0.000273566
13,1792,4,0.000294651
18,1792,4,0.000297671
23,1792,4,0.000274147
28,1792,4,0.000289165
33,1792,4,0.000272218
38,1792,4,0.000284984
43,1792,4,0.000271697
48,1792,4,0.000174466
53,1792,4,0.00822605
58,1792,4,0.00813264
63,1792,4,0.00811715
68,1792,4,0.00809894
73,1792,4,0.0081831
78,1792,4,0.00814153
83,1792,4,0.00835758
88,1792,4,0.00802733
93,1792,4,0.00829942
98,1792,4,0.00809254
3,1792,5,0.00040114
8,1792,5,0.00039374
13,1792,5,0.000414697
18,1792,5,0.000398483
23,1792,5,0.000391933
28,1792,5,0.000394331
33,1792,5,0.000391855
38,1792,5,0.000391599
43,1792,5,0.000388548
48,1792,5,0.000425806
53,1792,5,0.000391867
58,1792,5,0.0100514
63,1792,5,0.0100552
68,1792,5,0.0103108
73,1792,5,0.01098
78,1792,5,0.0106502
83,1792,5,0.0106955
88,1792,5,0.0101002
93,1792,5,0.0100069
98,1792,5,0.0100955
3,1792,6,0.000314506
8,1792,6,0.00031469
13,1792,6,0.0117382
18,1792,6,0.0121924
23,1792,6,0.0122607
28,1792,6,0.0118193
33,1792,6,0.0119096
38,1792,6,0.0117653
43,1792,6,0.0118545
48,1792,6,0.0117828
53,1792,6,0.0117704
58,1792,6,0.0117901
63,1792,6,0.0117889
68,1792,6,0.0130257
73,1792,6,0.0141083
78,1792,6,0.0138452
83,1792,6,0.0136331
88,1792,6,0.0127771
93,1792,6,0.0129734
98,1792,6,0.0126771
3,1792,7,0.0170432
8,1792,7,0.0168064
13,1792,7,0.0153405
18,1792,7,0.0153035
23,1792,7,0.0159677
28,1792,7,0.0159333
33,1792,7,0.0158803
38,1792,7,0.0164905
43,1792,7,0.0159736
48,1792,7,0.0164146
53,1792,7,0.0159796
58,1792,7,0.0155132
63,1792,7,0.0159639
68,1792,7,0.0156179
73,1792,7,0.0159662
78,1792,7,0.015895
83,1792,7,0.0160505
88,1792,7,0.0158385
93,1792,7,0.0156419
98,1792,7,0.0159655
3,1792,8,0.0210369
